"airport";"year";"month";"tm_mov_naz";"p_tm_mov_naz";"tm_mov_internaz";"p_tm_mov_internaz";"tm_mov_UE";"p_tm_mov_UE";"tm_mov_tcomm";"p_tm_mov_tcomm";"tm_mov_tgenav";"p_tm_mov_tgenav";"tm_mov_tot";"p_tm_mov_tot";"tp_mov_naz";"p_tp_mov_naz";"tp_mov_internaz";"p_tp_mov_internaz";"tp_mov_UE";"p_tp_mov_UE";"tp_mov_tcomm";"p_tp_mov_tcomm";"tp_mov_tgenav";"p_tp_mov_tgenav";"tp_mov_tot";"p_tp_mov_tot";"cod3";"cod4";"rating";"nroutes";"nro"
"Trieste";2001;7;558;-37.8619153674833;387;50.5836575875486;272;36;945;-18.1818181818182;606;-18.5483870967742;1551;-18.3254344391785;248206;-5.82811960526166;109840;54.5910037718854;84700;67.9988892635421;1994;352.154195011338;360040;7.45538112576852;3196;-6.54970760233918;"TRS";"LIPQ";72;242;2
"Torino";2001;7;1651;-2.24985198342214;2702;12.2093023255814;2495;17.1911695631752;4353;6.24847449353185;1604;28.525641025641;5957;11.4499532273152;876522;-0.319334038415612;867926;7.45488490947268;809520;9.38602109564386;15834;586.64353859497;1760282;4.19889803640221;8451;5.6375;"TRN";"LIMF";76;3700;4
"Trapani";2001;7;289;4.33212996389892;10;400;0;0;299;7.16845878136201;25;-26.4705882352941;324;3.51437699680511;25603;168.066171081562;605;572.222222222222;400;6566.66666666667;6040;340.233236151603;32248;192.817579224553;24;300;"TPS";"LICT";61;1568;4
"Treviso";2001;7;0;0;654;30.8;0;0;654;30.8;344;-17.8997613365155;998;8.59630032644178;0;0;220193;54.6114579017954;0;0;396;-64.9867374005305;220589;53.6691559617689;3808;-26.3870094722598;"TSF";"LIPH";64;2888;4
"Venezia";2001;7;1969;-7.99065420560748;3545;-4.21507700621454;3385;9.93829165313413;5514;-5.59835644581407;354;-11.0552763819095;5868;-5.9464657797724;855850;0.145329788628237;1647568;8.65368635695764;1538409;14.1673896087801;9053;-11.2102785406042;2512471;5.51493562779697;4832;-9.30930930930931;"VCE";"LIPZ";75;30013;7
"Verona";2001;7;1201;-18.4657162253904;2503;19.1337458353165;2078;22.4513847967001;3704;3.63738108561835;301;22.8571428571429;4005;4.87038491751767;478992;-10.2649943329243;833597;7.76656354513969;569695;9.06134060287693;20026;81.5100154083205;1332615;1.08287777271248;3143;16.1063908385667;"VRN";"LIPX";67;2965;4
"Alghero";2001;8;838;-30.7438016528926;164;5.12820512820513;148;-1.33333333333333;1002;-26.6471449487555;160;153.968253968254;1162;-18.6843946815955;377560;-4.68304258917977;104413;72.1850263852243;273822;386.362344582593;1452;588.151658767772;483425;5.79130385306405;770;26.2295081967213;"AHO";"LIEA";70;1922;4
"Ancona";2001;8;550;14.5833333333333;495;28.5714285714286;300;35.1351351351351;1045;20.8092485549133;837;-12.2641509433962;1882;3.46344145134689;158268;-4.3137065228563;147559;22.7867692947784;119116;46.0578267160409;365;37.218045112782;306192;7.1185681700508;4236;-28.130302002036;"AOI";"LIPY";77;200;2
"Bari";2001;8;1357;-10.3698811096433;291;88.961038961039;0;0;1648;-1.19904076738609;459;-24.7540983606557;2107;-7.50658472344162;764935;-7.9750874010197;32232;22.531838053602;0;0;3949;343.707865168539;801116;-6.67562885810109;2704;73.7789203084833;"BRI";"LIBD";72;5000;5
"Bergamo";2001;8;897;2.51428571428571;2166;-22.3934073808671;1571;-14.3869209809264;3063;-16.4484451718494;167;-27.0742358078603;3230;-17.0731707317073;254245;-26.2380216024579;522878;-6.18784391612708;326096;2.76760558941616;7445;-11.7263457434195;784568;-13.8295675706547;2507;39.0460343871326;"BGY";"LIME";73;13122;6
"Bologna";2001;8;1468;-15.8739255014327;3966;3.46986694495173;3244;5.18806744487678;5434;-2.58157045536034;0;0;5434;-6.50378527185134;771777;3.5211380957874;1679315;3.54323984538635;1323512;4.79104925490954;49758;-1.40097096997919;2500850;3.43322965953082;294;-93.5667396061269;"BLQ";"LIPE";72;15488;6
"Bolzano";2001;8;117;10.377358490566;61;-40.1960784313725;61;-29.0697674418605;178;-14.4230769230769;795;7.43243243243243;973;2.63713080168776;18431;-7.40982618306038;9126;-37.2438454132857;9126;-24.7898467117191;68;-68.5185185185185;27625;-20.3063697207477;3816;327.323628219485;"BZO";"LIPB";59;8;1
"Brindisi";2001;8;555;-12.7358490566038;151;-48.9864864864865;0;0;706;-24.2489270386266;125;-79.6084828711256;831;-46.2135922330097;386429;5.83616345311131;40648;-14.1324094807554;0;0;15857;48.3626497005988;442934;4.67640010776422;383;-67.4042553191489;"BDS";"LIBR";72;968;3
"Cagliari";2001;8;2270;-18.0505415162455;311;29.045643153527;293;31.390134529148;2581;-14.2809697774826;399;-17.5619834710744;2980;-14.7353361945637;1245733;-5.21007393068352;73822;1.67199206698986;66433;5.45590196202934;21798;21.3426853707415;1341353;-4.5148123259509;2142;-25.3398396653886;"CAG";"LIEE";72;3698;4
"Catania";2001;8;2992;-13.2753623188406;996;-7.77777777777778;710;-4.31266846361186;3988;-11.9646799116998;120;-21.0526315789474;4108;-12.2597180692012;2081035;-0.103063486531662;682941;5.59566200902666;538528;8.22225303599383;6721;-10.0508565310493;2770697;1.21618832434368;1511;144.894651539708;"CTA";"LICC";68;27149;7
"Cuneo";2001;8;0;0;0;0;0;0;0;0;1391;24.7533632286996;1391;20.6418039895924;3673;-36.8031658637302;80;-27.9279279279279;101;-9.00900900900901;0;0;3753;-36.6368394394732;9605;101.91297035947;"CUF";"LIMZ";42;50;1
"Firenze";2001;8;866;-12.1703853955375;2016;15.7290470723307;0;0;2882;5.64516129032258;308;-47.7966101694915;3190;-3.85774562989753;293966;-10.2103276174884;767864;12.4240307932422;0;0;0;0;1061830;5.0899593329777;5682;-21.4759535655058;"FLR";"LIRQ";61;5618;5
"Genova";2001;8;773;-20.3913491246138;766;-9.24170616113744;507;-11.8260869565217;1539;-15.2066115702479;843;37.0731707317073;2382;-1.97530864197531;357687;-12.5384812881298;290908;3.87679386968802;229450;9.18235761564194;10256;69.857568731368;658851;-5.20866004655753;7982;2.09772320286518;"GOA";"LIMJ";64;800;3
"Lamezia Terme";2001;8;768;11.6279069767442;248;-20.5128205128205;204;-27.6595744680851;1016;1.6;60;-41.1764705882353;1076;-2.35934664246824;443211;14.7067957948787;100003;-30.1723295208569;87213;-33.1219422419214;4592;12.8810226155359;547806;2.64921261908153;554;20.1735357917571;"SUF";"LICA";62;1250;4
"Milano Linate";2001;8;4161;22.3823529411765;2810;113.688212927757;2676;103.963414634146;6971;47.847295864263;1329;113.665594855305;8300;55.5180813190931;3462676;29.3234700177141;1501751;14.0416784372333;1471414;11.8226600985222;426;16.3934426229508;4964853;24.2847283465937;0;0;"LIN";"LIML";67;7200;5
"Milano Malpensa";2001;8;5453;-16.4931087289433;16701;0.955086743637792;10651;-1.12328258447828;22154;-3.983010445109;171;76.2886597938144;22325;-3.64695727233492;3101876;-18.1288932890723;10394109;2.47476829301837;5480162;3.15441778675939;77595;-33.6499982898382;13573580;-3.3824313445234;0;0;"MXP";"LIMC";72;74500;8
